Record_ID,Sequence_Next,Execution,Execution_Code,Variation,CE_Code,Pillar,Target,Market_Zip,Offer_Speed,Offer_Price_Dollars,Offer_Price_Cents,Offer_Term_Period,Offer_Regular_Rate,Channel,Size,Status,Start_Date,End_Date,Creative_Brief,Image_Description_Prompt,Image_Asset,Supporting_Copy,Legal_Full,Legal_Short,Approval_Notes,AMJ_ID,AMJ_Creative_Pillar,AMJ_Message_Theme_Angle,AMJ_Targeting_Trigger,AMJ_Audience_Demo_Visual,AMJ_Primary_Visual_Direction,AMJ_Sample_Headline,AMJ_Support_Copy_Proof_Point,AMJ_Offer_Product_Layer,AMJ_Localization_Dynamic_Fields,AMJ_Test_Learning_Question,AMJ_Priority,AMJ_Dependencies_Guardrails,AMJ_Horizontal_Base_Strategy,AMJ_Horizontal_Trigger_Market_Rule,AMJ_Horizontal_Core_Message,AMJ_Variant_Family_Multi_Device,AMJ_Variant_WFH_Professional,AMJ_Variant_Gamer_Power_User,AMJ_Variant_Parent_Security,AMJ_Variant_Entertainment_Streamer,AMJ_What_Stays_Constant,AMJ_What_Changes_Dynamically,AMJ_Comparison_Status,Message_1_Required,Message_2_Required,Message_3_Required,Message_4_Required,Message_5_Required,Message_1,Message_2,Message_3,Message_4,Message_5
DCO-0001,28,Fiber Technology,FibTech,Fiber,Fib,Technology Leadership,Fiber-enabled expansion markets / ZIPs over-indexing to fiber,TBD,,,,,,Display,Full Set,Current,,,Build the Fiber + Better WiFi route for Fiber-enabled expansion markets / ZIPs over-indexing to fiber. Audience and demo: Connected family / multi-device household. Visual direction: Modern home with multiple people/devices + subtle fiber/eero product cue. Lead with: Fiber Internet. Premium eero WiFi. Support with: Experience Sparklight Fiber with Better WiFi. Dynamic fields: Market name; fiber availability; offer. Guardrails: Localize by market where feasible.,Modern home with multiple people/devices + subtle fiber/eero product cue. Audience: Connected family / multi-device household.,,Experience Sparklight Fiber with Better WiFi.,,,Localize by market name where feasible.,TL-01,Technology Leadership,Fiber + Better WiFi,Fiber-enabled expansion markets / ZIPs over-indexing to fiber,Connected family / multi-device household,Modern home with multiple people/devices + subtle fiber/eero product cue,Fiber Internet. Premium eero WiFi.,Experience Sparklight Fiber with Better WiFi.,TBD,Market name; fiber availability; offer,Does pairing Fiber + premium WiFi outperform Fiber-only messaging?,High,Localize by market where feasible.,,,,,,,,,,,Updated existing DCO route,1,0,0,0,0,Fiber Internet. Premium eero WiFi.,Experience Sparklight Fiber with Better WiFi.,,,
DCO-0015,,Fiber Technology,FibTech,Fiber for Streamers,Fib_Stream,Technology Leadership,Fiber-enabled ZIPs,TBD,,,,,,Display,Full Set,Current,,,Build the Fiber for Streamers / Entertainment route for Fiber-enabled ZIPs. Audience and demo: Streaming household / entertainment-first. Visual direction: Couple/family streaming on multiple screens; avoid generic router-only creative. Lead with: Fiber Built for How You Stream. Support with: Fast Internet plus premium eero WiFi for a connected home. Dynamic fields: Market name; fiber availability; offer. Guardrails: Concept expansion for DCO; validate final claims/copy.,Couple/family streaming on multiple screens; avoid generic router-only creative. Audience: Streaming household / entertainment-first.,,Fast Internet plus premium eero WiFi for a connected home.,,,,TL-02,Technology Leadership,Fiber for Streamers / Entertainment,Fiber-enabled ZIPs,Streaming household / entertainment-first,Couple/family streaming on multiple screens; avoid generic router-only creative,Fiber Built for How You Stream.,Fast Internet plus premium eero WiFi for a connected home.,TBD,Market name; fiber availability; offer,Does entertainment-led imagery lift response among streaming-heavy audiences?,Medium,Concept expansion for DCO; validate final claims/copy.,,,,,,,,,,,New route from AMJ update,1,0,0,0,0,Fiber Built for How You Stream.,Fast Internet plus premium eero WiFi for a connected home.,,,
DCO-0016,,Fiber Technology,FibTech,Fiber for Gamers,Fib_Game,Technology Leadership,Fiber-enabled ZIPs; gaming/high-device audience where available,TBD,,,,,,Display,Full Set,Current,,,"Build the Fiber for Gamers / High-Demand Homes route for Fiber-enabled ZIPs; gaming/high-device audience where available. Audience and demo: Gamers / high-device household. Visual direction: Gaming setup plus other simultaneous household use. Lead with: Fiber Ready for the Whole House. Support with: Fast connectivity for gaming, streaming and everything happening at once. Dynamic fields: Fiber availability; market; offer. Guardrails: Concept expansion; avoid unsupported latency claims.",Gaming setup plus other simultaneous household use. Audience: Gamers / high-device household.,,"Fast connectivity for gaming, streaming and everything happening at once.",,,,TL-03,Technology Leadership,Fiber for Gamers / High-Demand Homes,Fiber-enabled ZIPs; gaming/high-device audience where available,Gamers / high-device household,Gaming setup plus other simultaneous household use,Fiber Ready for the Whole House.,"Fast connectivity for gaming, streaming and everything happening at once.",TBD,Fiber availability; market; offer,Does high-demand-use imagery outperform broad family imagery?,Medium,Concept expansion; avoid unsupported latency claims.,,,,,,,,,,,New route from AMJ update,1,0,0,0,0,Fiber Ready for the Whole House.,"Fast connectivity for gaming, streaming and everything happening at once.",,,
DCO-0013,,2 Gig Targeting,2Gig,2 Gig,2Gig,Technology Leadership,Areas with multi-Gig availability,TBD,,,,,,Display,Full Set,Current,,,"Build the 2 Gig – Ultimate Upgrade route for Areas with multi-Gig availability. Audience and demo: Power users / tech-forward household. Visual direction: Premium multi-device home, creator/gamer/remote worker cues. Lead with: The Ultimate Internet Upgrade Support with: 2 Gig Internet + Premium eero WiFi + 1 Year FREE Mobile Dynamic fields: 2 Gig availability; market; offer. Guardrails: Only serve where 2 Gig is available.","Premium multi-device home, creator/gamer/remote worker cues. Audience: Power users / tech-forward household.",,2 Gig Internet + Premium eero WiFi + 1 Year FREE Mobile,,,,TL-04,Technology Leadership,2 Gig – Ultimate Upgrade,Areas with multi-Gig availability,Power users / tech-forward household,"Premium multi-device home, creator/gamer/remote worker cues",The Ultimate Internet Upgrade,2 Gig Internet + Premium eero WiFi + 1 Year FREE Mobile,TBD,2 Gig availability; market; offer,Which audience visual makes 2 Gig feel most relevant rather than simply 'more speed'?,High,Only serve where 2 Gig is available.,2 Gig,Multi-Gig serviceability,2 Gig as the premium speed tier.,Large connected family,Heavy WFH + cloud use,Power gamer / creator setup,High-device family,4K/multi-stream entertainment household,"2 Gig availability, product tier, CTA",Audience visual; benefit framing; market/offer,Updated existing DCO route,1,0,0,0,0,The Ultimate Internet Upgrade,2 Gig Internet + Premium eero WiFi + 1 Year FREE Mobile,,,
DCO-0017,,2 Gig Targeting,2Gig,2 Gig Multi User Household,2Gig_Multi,Technology Leadership,Areas with multi-Gig availability,TBD,,,,,,Display,Full Set,Current,,,"Build the 2 Gig – Multi-User Household route for Areas with multi-Gig availability. Audience and demo: Large/busy family. Visual direction: Several household members using bandwidth-heavy devices at once. Lead with: More Speed for More of Everything. Support with: 2 Gig Internet built for busy, connected homes. Dynamic fields: 2 Gig availability; market; offer. Guardrails: Concept expansion; final product substantiation required.",Several household members using bandwidth-heavy devices at once. Audience: Large/busy family.,,"2 Gig Internet built for busy, connected homes.",,,,TL-05,Technology Leadership,2 Gig – Multi-User Household,Areas with multi-Gig availability,Large/busy family,Several household members using bandwidth-heavy devices at once,More Speed for More of Everything.,"2 Gig Internet built for busy, connected homes.",TBD,2 Gig availability; market; offer,Does household-demand framing outperform 'ultimate upgrade'?,Medium,Concept expansion; final product substantiation required.,2 Gig,Multi-Gig serviceability,2 Gig as the premium speed tier.,Large connected family,Heavy WFH + cloud use,Power gamer / creator setup,High-device family,4K/multi-stream entertainment household,"2 Gig availability, product tier, CTA",Audience visual; benefit framing; market/offer,New route from AMJ update,1,0,0,0,0,More Speed for More of Everything.,"2 Gig Internet built for busy, connected homes.",,,
DCO-0002,,Equipment Included,Eq,Equipment Included,Eq,Value and Included Benefits,Rate cards that include equipment (~30% of serviceable footprint),TBD,,,,,,Display,Full Set,Current,,,Build the Equipment Included – No Extra Fee route for Rate cards that include equipment (~30% of serviceable footprint). Audience and demo: Value-conscious household. Visual direction: eero device prominently shown in an attractive lived-in home. Lead with: Powerful eero WiFi. Included. Support with: No extra monthly equipment fees. Dynamic fields: Equipment-included eligibility; offer. Guardrails: Must suppress where equipment is not included.,eero device prominently shown in an attractive lived-in home. Audience: Value-conscious household.,,No extra monthly equipment fees.,,,,VB-01,Value & Included Benefits,Equipment Included – No Extra Fee,Rate cards that include equipment (~30% of serviceable footprint),Value-conscious household,eero device prominently shown in an attractive lived-in home,Powerful eero WiFi. Included.,No extra monthly equipment fees.,TBD,Equipment-included eligibility; offer,Does 'included' drive more response than a general eero benefit?,High,Must suppress where equipment is not included.,Equipment Included,Equipment-included rate cards only,Premium eero WiFi included; no extra monthly equipment fees.,Family value + WiFi benefit,Home-office value,Premium setup without extra equipment fee,Family budget/control,Streaming setup + included eero,"Eligibility rule, included message, CTA",Audience visual; headline; offer,Updated existing DCO route,1,0,0,0,0,Powerful eero WiFi. Included.,No extra monthly equipment fees.,,,
DCO-0011,,Mobile Differentiator,Mob,Mobile 1 Year Free,MobFree,Value and Included Benefits,Broad market deployment / eligible offers,BROAD,,,,,,Display,Full Set,Current,,,"Build the Mobile – 1 Year Free route for Broad market deployment / eligible offers. Audience and demo: Value seeker / mobile-heavy consumer. Visual direction: Person using smartphone at home; internet + mobile visual system. Lead with: Upgrade Your Internet. Get Mobile Included. Support with: Get Gig-speed Internet plus one year of FREE mobile service. Dynamic fields: Offer eligibility; market. Guardrails: Confirm eligibility, terms and required disclosures.",Person using smartphone at home; internet + mobile visual system. Audience: Value seeker / mobile-heavy consumer.,,Get Gig-speed Internet plus one year of FREE mobile service.,,,,VB-02,Value & Included Benefits,Mobile – 1 Year Free,Broad market deployment / eligible offers,Value seeker / mobile-heavy consumer,Person using smartphone at home; internet + mobile visual system,Upgrade Your Internet. Get Mobile Included.,Get Gig-speed Internet plus one year of FREE mobile service.,TBD,Offer eligibility; market,Does a single clear FREE Mobile benefit outperform bundled benefit stacking?,High,"Confirm eligibility, terms and required disclosures.",Mobile – 1 Year Free,Eligible broad market deployment,Internet + one year FREE mobile.,Family mobile savings,Professional phone + home internet,Power user across phone/home devices,Parent/family lines,Entertainment on phone + home,"Offer terms, eligibility, CTA",Audience visual; benefit order; market,Updated existing DCO route,1,0,0,0,0,Upgrade Your Internet. Get Mobile Included.,Get Gig-speed Internet plus one year of FREE mobile service.,,,
DCO-0012,,Mobile Differentiator,Mob,Mobile Three Benefits,3Ben,Value and Included Benefits,Broad market deployment / eligible offers,BROAD,,,,,,Display,Full Set,Current,,,"Build the Benefit Stack route for Broad market deployment / eligible offers. Audience and demo: Household seeking total value. Visual direction: Three-part visual: Internet / eero / mobile, kept visually simple. Lead with: One Gig. Three Big Benefits. Support with: Gig-speed Internet + Premium eero WiFi + One Year FREE Mobile. Dynamic fields: Speed tier; eero inclusion; mobile offer. Guardrails: Avoid overloading smaller display sizes; prioritize hierarchy.","Three-part visual: Internet / eero / mobile, kept visually simple. Audience: Household seeking total value.",,Gig-speed Internet + Premium eero WiFi + One Year FREE Mobile.,,,,VB-03,Value & Included Benefits,Benefit Stack,Broad market deployment / eligible offers,Household seeking total value,"Three-part visual: Internet / eero / mobile, kept visually simple",One Gig. Three Big Benefits.,Gig-speed Internet + Premium eero WiFi + One Year FREE Mobile.,TBD,Speed tier; eero inclusion; mobile offer,Does benefit stacking outperform one-benefit-at-a-time creative?,High,Avoid overloading smaller display sizes; prioritize hierarchy.,,,,,,,,,,,Updated existing DCO route,1,0,0,0,0,One Gig. Three Big Benefits.,Gig-speed Internet + Premium eero WiFi + One Year FREE Mobile.,,,
DCO-0018,,Equipment Included,Eq,Equipment Included Family Value,Eq_Fam,Value and Included Benefits,Equipment-included footprint,TBD,,,,,,Display,Full Set,Current,,,Build the Equipment Included – Family Value route for Equipment-included footprint. Audience and demo: Family / budget-conscious household. Visual direction: Family using WiFi throughout home; eero secondary. Lead with: Better WiFi. No Extra Equipment Fee. Support with: Premium eero WiFi is included with eligible plans. Dynamic fields: Eligibility; market; offer. Guardrails: Concept expansion; validate 'eligible plans' wording.,Family using WiFi throughout home; eero secondary. Audience: Family / budget-conscious household.,,Premium eero WiFi is included with eligible plans.,,,,VB-04,Value & Included Benefits,Equipment Included – Family Value,Equipment-included footprint,Family / budget-conscious household,Family using WiFi throughout home; eero secondary,Better WiFi. No Extra Equipment Fee.,Premium eero WiFi is included with eligible plans.,TBD,Eligibility; market; offer,Does human benefit imagery improve performance vs. product-forward eero imagery?,Medium,Concept expansion; validate 'eligible plans' wording.,Equipment Included,Equipment-included rate cards only,Premium eero WiFi included; no extra monthly equipment fees.,Family value + WiFi benefit,Home-office value,Premium setup without extra equipment fee,Family budget/control,Streaming setup + included eero,"Eligibility rule, included message, CTA",Audience visual; headline; offer,New route from AMJ update,1,0,0,0,0,Better WiFi. No Extra Equipment Fee.,Premium eero WiFi is included with eligible plans.,,,
DCO-0019,,Competitive Differentiation,Comp,eero Whole Home Coverage,Eero_Cov,Competitive Advantage,eero vs. AT&T Fiber / CenturyLink ZIPs; broad eligible markets,TBD,,,,,,Display,Full Set,Current,,,"Build the eero – Whole-Home Coverage route for eero vs. AT&T Fiber / CenturyLink ZIPs; broad eligible markets. Audience and demo: Larger home / multi-room household. Visual direction: People/devices in different rooms/floors; eero mesh nodes visible. Lead with: Better WiFi, Room to Room. Support with: Premium eero WiFi helps keep your connected home covered. Dynamic fields: Competitor/ZIP; market; offer. Guardrails: Concept expansion; final eero claim language must be approved.",People/devices in different rooms/floors; eero mesh nodes visible. Audience: Larger home / multi-room household.,,Premium eero WiFi helps keep your connected home covered.,,,,CA-01,Competitive Advantage,eero – Whole-Home Coverage,eero vs. AT&T Fiber / CenturyLink ZIPs; broad eligible markets,Larger home / multi-room household,People/devices in different rooms/floors; eero mesh nodes visible,"Better WiFi, Room to Room.",Premium eero WiFi helps keep your connected home covered.,TBD,Competitor/ZIP; market; offer,Does coverage solve a more motivating pain point than generic 'better WiFi'?,High,Concept expansion; final eero claim language must be approved.,eero – Whole-Home Coverage,eero-eligible / competitive ZIPs,Premium eero WiFi improves the home WiFi experience.,Family spread across multiple rooms/floors; devices everywhere,Professional working in office while others use WiFi elsewhere,Gaming upstairs while household streams downstairs,Parent moving through home while kids/devices stay connected,Streaming in bedroom/living room/patio zones,"eero product truth, brand look, CTA/offer framework",Demo visual; audience; headline angle; market/offer,New route from AMJ update,1,0,0,0,0,"Better WiFi, Room to Room.",Premium eero WiFi helps keep your connected home covered.,,,
